S.No.,PoW,Coins,Symbol,Market,Cap,PoS,Coins,Symbol,Market,Cap,Hybrid,Coins,Symbol,Market,Cap
1,Bitcoin,BTC,6467437080,BitShares,BTS,8591688,Dash,DASH,19794713
2,Litecoin,LTC,152873521,Nxt,NXT,6863998,Peercoin,PPC,9756959
3,Ethereum,ETH,73843278,Factom,FCT,5646935,Emercoin,EMC,2729184
4,Dogecoin,DOGE,14940681,NuShares,NSR,3176456,Novacoin,NVC,1162587
5,Namecoin,NMC,6073338,Rubycoin,RBY,2763547,I0Coin,I0C,697337
6,Bytecoin,BCN,5582979,Clams,CLAM,2199047,ReddCoin,RDD,577185
7,Monero,XMR,5295952,BlackCoin,BLK,2000105,Diamond,DMD,484841
8,GridCoin,GRC,3206756,GlobalCurrency,GCR,1387263,I/O,Coin,IOC,310983
9,MonaCoin,MONA,1627740,StorjcoinX,SJCX,687999,CloakCoin,CLOAK,201995
10,Startcoin,START,1561435,MintCoin,MINT,661925,WhiteCoin,XWC,70092
11,Tether,USDT,951600,NuBits,USNBT,849743,Bitstar,BITS,62056
12,Primecoin,XPM,900600,SolarCoin,SLR,522662,BeanCash,BITB,53056
13,VeriCoin,VRC,796319,Rimbit,RBT,330286,LiteDoge,LDOGE,42925
14,DigiByte,DGB,740007,Blocknet,BLOCK,312057,UltraCoin,UTC,31851
15,DNotes,NOTE,711592,FairCoin,FAIR,247002,Capricoin,CPC,27313
16,GameCredits,GAME,666554,HyperStake,HYP,173539,Kobocoin,KOBO,27149
17,Quark,QRK,647684,BitBay,BAY,141822,Sprouts,SPRTS,25115
18,WorldCoin,WDC,581449,AudioCoin,ADC,129387,Amsterdam,AMS,13420
19,PayCoin,XPY,581404,Orbitcoin,ORB,122492,SuperCoin,SUPER,12954
20,BoostCoin,BOST,522544,NavCoin,NAV,121805,BitSend,BSD,8268