id,name,min_size,status,max_precision
GALA,Gala,0.00000001,online,0.00000001
BCH,Bitcoin Cash,0.00000001,online,0.00000001
LPT,Livepeer,0.01,online,0.001
GLM,Golem Network,0.00000001,online,0.00000001
MDT,Measurable Data Token,1,online,0.00000001
RAI,Rai Reflex Index,0.1,online,0.01
IDEX,IDEX,0.1,online,0.00000001
INV,Inverse Finance,0.00000001,online,0.00000001
STX,Stacks,0.000001,online,0.000001
ZRX,0x,0.00001,online,0.00000001
TBTC,TBTC,0.00001,online,0.000001
GFI,Goldfinch,0.1,online,0.00000001
ENS,Ethereum Name Service,0.001,online,0.00000001
AVT,Aventus,0.01,online,0.00000001
RNDR,Render Token,0.00000001,online,0.00000001
FARM,Harvest Finance,0.01,online,0.001
IOTX,IoTeX (ERC-20),10,online,1
SUKU,SUKU,0.00000001,online,0.00000001
STORJ,Storj,1,online,0.01
BUSD,Binance USD,0.00000001,online,0.00000001
XYO,XYO,100,online,0.1
CRO,Crypto.com Coin,0.00000001,online,0.00000001
DIA,DIA,0.01,online,0.00000001
FET,Fetch.ai,1,online,0.1
PAX,Paxos Standard,0.1,online,0.01
MCO2,Moss Carbon Credit,0.01,online,0.00000001
PERP,Perpetual Protocol,0.01,online,0.001
SUPER,SuperFarm,0.01,online,0.00000001
XLM,Stellar,1,online,0.0000001
MUSD,mStable USD,0.01,online,0.00000001
BTRST,Braintrust,1,online,0.01
SHPING,Shping,0.00000001,online,0.00000001
DASH,Dash,1,online,0.00000001
CLV,Clover Finance,0.1,online,0.00000001
RLC,iExec RLC,0.1,online,0.01
BAND,Band Protocol,0.1,online,0.01
GODS,Gods Unchained,0.1,online,0.00000001
LRC,Loopring,1,online,0.00000001
CVC,Civic,1,online,0.00000001
NU,NuCypher,10,online,0.000001
PLA,PlayDapp,1,online,0.1
REN,Ren,1,online,0.1
FIL,Filecoin,0.01,online,0.001
YFII,DFI.Money,0.0001,online,0.00000001
DDX,DerivaDAO,0.1,online,0.01
RAD,Radicle,0.1,online,0.01
AGLD,Adventure Gold,0.1,online,0.01
MLN,Enzyme,0.01,online,0.001
AMP,Amp,10,online,1
SNT,Status,0.00000001,online,0.00000001
BNT,Bancor,1,online,0.000001
NMR,Numeraire,0.01,online,0.001
QUICK,QuickSwap,0.001,online,0.0001
ATOM,Cosmos,1,online,0.000001
BAL,Balancer,0.1,online,0.01
CRV,Curve DAO Token,0.1,online,0.01
UST,TerraUSD,1,online,0.01
SHIB,Shiba Inu,100000,online,1
USDC,USD Coin,0.000001,online,0.000001
AUCTION,Bounce Token,0.01,online,0.001
UNFI,Unifi Protocol DAO,0.01,online,0.00000001
REP,Augur,0.000001,online,0.00000001
CRPT,Crypterium,0.00000001,online,0.00000001
BLZ,Bluzelle,0.1,online,0.00000001
CTX,Cryptex Finance,0.01,online,0.001
GYEN,GYEN,0.000001,online,0.000001
ACH,Alchemy Pay,0.1,online,0.00000001
1INCH,1Inch,0.1,online,0.01
MATIC,Polygon,1,online,0.0000001
DAI,Dai,0.00001,online,0.00001
ANKR,Ankr,10,online,0.00000001
ERN,Ethernity Chain,0.001,online,0.00000001
USD,United States Dollar,0.01,online,0.01
KNC,Kyber Network,1,online,0.00000001
MANA,Decentraland,1,online,0.00000001
CGLD,Celo,0.1,online,0.01
IMX,ImmutableX,0.1,online,0.00000001
DOGE,Dogecoin,1,online,0.1
USDT,Tether,1,online,0.1
AVAX,Avalanche,0.01,online,0.001
PLU,Pluton,0.01,online,0.00000001
GST,Green Satoshi Token,0.00000001,online,0.00000001
ALCX,Alchemix,0.0001,online,0.00000001
WCFG,Wrapped Centrifuge,0.1,online,0.01
TRAC,OriginTrail,0.1,online,0.0001
LINK,Chainlink,1,online,0.00000001
GRT,The Graph,10,online,0.01
NCT,Polyswarm,0.00000001,online,0.00000001
DNT,district0x,1,online,0.00000001
LQTY,Liquity,0.00000001,online,0.00000001
OXT,Orchid,1,online,0.00000001
ORN,Orion Protocol,0.1,online,0.01
COTI,COTI,1,online,0.1
ALICE,My Neighbor Alice,0.00000001,online,0.000001
MASK,Mask Network,0.1,online,0.01
RLY,Rally,1,online,1
TRIBE,Tribe,1,online,0.1
SKL,SKALE,1,online,0.1
AXS,Axie Infinity,0.01,online,0.001
GNT,Golem,1,delisted,0.00000001
ALGO,Algorand,1,online,0.000001
MKR,Maker,0.001,online,0.00001
RARI,Rarible,0.01,online,0.001
OMG,OMG Network,1,online,0.00000001
POWR,Power Ledger,0.000001,online,0.000001
CTSI,Cartesi,1,online,0.1
SNX,Synthetix,0.1,online,0.001
SUSHI,SushiSwap,0.1,online,0.01
NKN,NKN,1,online,0.1
GAL,Project Galaxy,0.00000001,online,0.00000001
ETH,Ether,0.00000001,online,0.00000001
ASM,Assemble Protocol,10,online,1
TRB,Tellor,0.01,online,0.001
RBN,Ribbon Finance,0.1,online,0.00000001
ZEC,Zcash,0.00000001,online,0.00000001
BOND,BarnBridge,0.01,online,0.001
WLUNA,Wrapped Luna,0.01,online,0.001
POLS,Polkastarter,0.01,online,0.00000001
FX,Function X,1,online,0.1
PRO,Propy,0.00000001,online,0.00000001
DOT,Polkadot,0.01,online,0.001
LTC,Litecoin,0.00000001,online,0.00000001
AAVE,Aave,0.01,online,0.001
RGT,Rari Governance Token,0.01,online,0.001
BTC,Bitcoin,0.00000001,online,0.00000001
GTC,Gitcoin,0.1,online,0.01
SOL,Solana,0.01,online,0.000000001
MIR,Mirror Protocol,0.1,online,0.01
YFI,yearn.finance,0.00001,online,0.000001
MPL,Maple,0.01,online,0.00000001
BAT,Basic Attention Token,1,online,0.00000001
XTZ,Tezos,0.000001,online,0.000001
WBTC,Wrapped Bitcoin,0.0001,online,0.00000001
AIOZ,Aioz Network,0.00000001,online,0.00000001
DESO,Decentralized Social,0.000001,online,0.000001
KRL,kryll,0.1,online,0.0001
VGX,Voyager Token,0.00000001,online,0.00000001
BICO,Biconomy,1,online,0.00000001
COVAL,Circuits of Value,0.00000001,online,0.00000001
ICP,Internet Computer,0.01,online,0.001
UPI,Pawtocol,1,online,0.00000001
ENJ,Enjin Coin,0.1,online,0.01
EUR,Euro,0.01,online,0.01
FIDA,Bonfida,0.000001,online,0.000001
ADA,Cardano,1,online,0.1
SPELL,Spell Token,10,online,0.00000001
ORCA,Orca,0.000001,online,0.000001
QSP,Quantstamp,0.00000001,online,0.00000001
FORTH,Ampleforth Governance Token,0.01,online,0.001
KEEP,Keep Network,1,online,0.1
ETC,Ether Classic,0.00000001,online,0.00000001
LOOM,Loom Network,1,online,0.00000001
COMP,Compound,0.01,online,0.001
UMA,UMA,0.01,online,0.001
AERGO,Aergo,0.00000001,online,0.00000001
BADGER,Badger DAO,0.01,online,0.001
JASMY,JasmyCoin,10,online,0.00000001
OGN,Origin Token,0.1,online,0.01
SYN,Synapse,0.00000001,online,0.00000001
XRP,XRP,1,delisted,0.000001
LCX,LCX Token,0.1,online,0.0001
HIGH,Highstreet,0.00000001,online,0.00000001
ARPA,ARPA,1,online,0.1
UNI,Uniswap,1,online,0.000001
POLY,Polymath Network,1,online,1
CHZ,Chiliz,1,online,0.1
QNT,Quant,0.01,online,0.001
ROSE,Oasis Network,0.00000001,online,0.00000001
ZEN,Horizen,0.01,online,0.001
GBP,British Pound,0.01,online,0.01
FOX,ShapeShift FOX Token,0.1,online,0.00000001
API3,API3,0.1,online,0.01
APE,ApeCoin,0.00000001,online,0.00000001
EOS,EOS,0.1,online,0.0001
REQ,Request,10,online,1
MINA,Mina,0.00000001,online,0.00000001
GMT,STEPN,0.00000001,online,0.00000001
TRU,TrueFi,1,online,0.1
